set,path,label,x_relative_min,y_relative_min,x_relative_max,y_relative_min,x_relative_max,y_relative_max,x_relative_min,y_relative_max
TRAIN,ID_007FAIEI.jpg,fruit_woodiness,87.0,87.5,315.0,87.5,315.0,398.5,87.0,398.5
TRAIN,ID_00G8K1V3.jpg,fruit_brownspot,97.5,17.5,342.5,17.5,342.5,372.0,97.5,372.0
TRAIN,ID_00WROUT9.jpg,fruit_brownspot,156.5,209.5,404.5,209.5,404.5,512.0,156.5,512.0
TRAIN,ID_00ZJEEK3.jpg,fruit_healthy,125.0,193.0,379.5,193.0,379.5,410.0,125.0,410.0
TRAIN,ID_018UIENR.jpg,fruit_brownspot,79.5,232.5,313.0,232.5,313.0,414.5,79.5,414.5
TRAIN,ID_01QZDXVQ.jpg,fruit_woodiness,139.5,238.5,425.0,238.5,425.0,470.0,139.5,470.0
TRAIN,ID_02PX7GI8.jpg,fruit_brownspot,1.5,94.5,257.5,94.5,257.5,330.5,1.5,330.5
TRAIN,ID_02PX7GI8.jpg,fruit_brownspot,124.0,352.5,284.5,352.5,284.5,512.0,124.0,512.0
TRAIN,ID_03WE3EVQ.jpg,fruit_brownspot,168.0,95.5,508.0,95.5,508.0,298.0,168.0,298.0
TRAIN,ID_052XYWUM.jpg,fruit_woodiness,37.5,206.0,235.0,206.0,235.0,374.0,37.5,374.0
TRAIN,ID_055U1LPM.jpg,fruit_woodiness,220.5,84.0,382.0,84.0,382.0,311.0,220.5,311.0
TRAIN,ID_058OQ45J.jpg,fruit_brownspot,124.0,146.5,356.0,146.5,356.0,318.5,124.0,318.5
TRAIN,ID_05A7I1ZP.jpg,fruit_woodiness,321.0,275.5,466.5,275.5,466.5,470.0,321.0,470.0
TRAIN,ID_05A7I1ZP.jpg,fruit_woodiness,238.0,248.0,357.0,248.0,357.0,389.0,238.0,389.0
TRAIN,ID_05G9F711.jpg,fruit_brownspot,93.5,72.0,401.5,72.0,401.5,306.5,93.5,306.5
TRAIN,ID_05R05ZLJ.jpg,fruit_healthy,85.0,99.5,361.5,99.5,361.5,336.0,85.0,336.0
TRAIN,ID_05V8XX4L.jpg,fruit_woodiness,286.5,150.5,448.5,150.5,448.5,344.0,286.5,344.0
TRAIN,ID_05V8XX4L.jpg,fruit_woodiness,112.0,118.0,267.5,118.0,267.5,302.0,112.0,302.0
TRAIN,ID_06EXUMWA.jpg,fruit_healthy,43.5,122.0,330.5,122.0,330.5,339.5,43.5,339.5
TRAIN,ID_06GLI7SR.jpg,fruit_healthy,125.0,163.5,405.0,163.5,405.0,385.5,125.0,385.5
TRAIN,ID_06KI6V1N.jpg,fruit_brownspot,77.5,201.5,309.5,201.5,309.5,476.0,77.5,476.0
TRAIN,ID_06N0H7F1.jpg,fruit_healthy,91.0,168.5,400.5,168.5,400.5,407.5,91.0,407.5
TRAIN,ID_06N0H7F1.jpg,fruit_healthy,337.0,236.5,512.0,236.5,512.0,430.5,337.0,430.5
TRAIN,ID_07HGJOFB.jpg,fruit_healthy,283.0,389.5,503.5,389.5,503.5,512.0,283.0,512.0
TRAIN,ID_07HGJOFB.jpg,fruit_healthy,275.5,10.0,473.5,10.0,473.5,193.0,275.5,193.0
TRAIN,ID_07HGJOFB.jpg,fruit_healthy,115.0,206.0,319.0,206.0,319.0,374.0,115.0,374.0
TRAIN,ID_07MFGPW3.jpg,fruit_healthy,141.0,189.5,385.5,189.5,385.5,387.0,141.0,387.0
TRAIN,ID_07MFGPW3.jpg,fruit_healthy,4.5,233.0,86.0,233.0,86.0,291.0,4.5,291.0
TRAIN,ID_08A3G5RD.jpg,fruit_healthy,154.0,212.5,430.5,212.5,430.5,446.5,154.0,446.5
TRAIN,ID_08K42EBS.jpg,fruit_brownspot,76.0,141.0,348.5,141.0,348.5,336.5,76.0,336.5
TRAIN,ID_08PV7SQB.jpg,fruit_healthy,100.5,168.5,335.0,168.5,335.0,366.5,100.5,366.5
TRAIN,ID_09C4OIQT.jpg,fruit_brownspot,1.5,137.5,340.0,137.5,340.0,406.5,1.5,406.5
TRAIN,ID_09WS71T3.jpg,fruit_healthy,38.5,146.5,351.5,146.5,351.5,388.0,38.5,388.0
TRAIN,ID_0A1VFEP3.jpg,fruit_brownspot,80.0,217.5,336.0,217.5,336.0,414.5,80.0,414.5
TRAIN,ID_0ACABJ4D.jpg,fruit_brownspot,75.0,137.0,339.5,137.0,339.5,348.0,75.0,348.0
TRAIN,ID_0APCI9O1.jpg,fruit_healthy,121.5,138.5,365.0,138.5,365.0,344.5,121.5,344.5
TRAIN,ID_0B07EJ8B.jpg,fruit_woodiness,187.5,1.0,452.5,1.0,452.5,332.0,187.5,332.0
TRAIN,ID_0BFNU714.jpg,fruit_brownspot,84.0,236.0,396.0,236.0,396.0,485.5,84.0,485.5
TRAIN,ID_0C374A9P.jpg,fruit_brownspot,75.0,80.5,441.5,80.5,441.5,309.5,75.0,309.5
TRAIN,ID_0CISYX8S.jpg,fruit_brownspot,156.0,164.0,422.5,164.0,422.5,402.5,156.0,402.5
TRAIN,ID_0CXLC2N5.jpg,fruit_woodiness,216.0,70.5,408.5,70.5,408.5,329.0,216.0,329.0
TRAIN,ID_0CY1QTWS.jpg,fruit_healthy,142.0,138.5,422.5,138.5,422.5,371.0,142.0,371.0
TRAIN,ID_0DMO6F68.jpg,fruit_woodiness,133.0,192.5,369.5,192.5,369.5,382.5,133.0,382.5
TRAIN,ID_0EPVFVTF.jpg,fruit_healthy,113.0,180.5,365.0,180.5,365.0,371.0,113.0,371.0
TRAIN,ID_0F7W3N7K.jpg,fruit_brownspot,64.5,134.5,306.0,134.5,306.0,337.5,64.5,337.5
TRAIN,ID_0FNZJF6B.jpg,fruit_brownspot,312.0,242.5,413.5,242.5,413.5,326.5,312.0,326.5
TRAIN,ID_0FP6JEZQ.jpg,fruit_healthy,412.5,125.0,510.5,125.0,510.5,246.5,412.5,246.5
TRAIN,ID_0FP6JEZQ.jpg,fruit_healthy,157.5,123.5,412.5,123.5,412.5,337.5,157.5,337.5
TRAIN,ID_0GBCSTHR.jpg,fruit_healthy,26.5,129.5,340.0,129.5,340.0,405.5,26.5,405.5
TRAIN,ID_0GBCSTHR.jpg,fruit_healthy,0.0,107.0,40.0,107.0,40.0,234.0,0.0,234.0
